Availability,Accuracy,Avg Reward,Success Rate (%),Avg Learning Speed
0.2,0.2,7.121,98.6,0.07586677793794099
0.2,0.4,7.482,98.1,0.07783918424534911
0.2,0.6,8.502,98.3,0.08405480373203328
0.2,0.8,8.852,98.2,0.08616232982939859
0.2,1.0,9.431,98.8,0.08943743851176103
0.4,0.2,3.805,97.89999999999999,0.06221226825930073
0.4,0.4,5.97,98.5,0.07052683546089286
0.4,0.6,7.441,98.8,0.0772379701861435
0.4,0.8,9.133,99.4,0.08679802100512107
0.4,1.0,10.196,99.7,0.09390553103577802
0.6,0.2,-1.741,97.8,0.04749465685110425
0.6,0.4,3.14,99.2,0.059283851078966096
0.6,0.6,6.25,99.4,0.07112375533428164
0.6,0.8,8.741,100.0,0.08345155637152632
0.6,1.0,10.284,100.0,0.0940910801656003
0.8,0.2,-12.391,96.39999999999999,0.033000033000033
0.8,0.4,-0.95,99.8,0.0484027105517909
0.8,0.6,5.292,100.0,0.0662778366914104
0.8,0.8,9.008,100.0,0.08503401360544217
0.8,1.0,10.946,100.0,0.10018032458425166
1.0,0.2,-37.186,75.6,0.02089514814660036
1.0,0.4,-6.289,99.5,0.039252629926205054
1.0,0.6,4.107,100.0,0.06172458490216653
1.0,0.8,8.944,100.0,0.08483203257550051
1.0,1.0,11.766,100.0,0.10829542993285683
